ID,N,10,0	Est1	Est2	Est3	Est4	Est5	Est6	Est7	Est8	Est9	Est10	Est11	Est12	Est13	Est14	Est15	Est16
531	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	Sorgo Forrajero	Sorgo Forrajero	Sorgo Forrajero	Alfalfa	Alfalfa	Alfalfa	Alfalfa	Alfalfa
532	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado
533	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado
534	TR+TB+Raigrás	TR+TB+Raigrás	TR+TB+Raigrás	TR+TB+Raigrás	Raigrás+TB+L	Raigrás+TB+L	Raigrás+TB+L	Raigrás+TB+L	Raigrás+TB+L	Raigrás+TB+L	Raigrás+TB+L	Raigrás+TB+L	Raigrás+TB+L	Raigrás+TB+L	Raigrás+TB+L	Raigrás+TB+L
535	TR+TB+Raigrás	TR+TB+Raigrás	TR+TB+Raigrás	TR+TB+Raigrás	Sorgo Forrajero	Sorgo Forrajero	Sorgo Forrajero	Moha	Moha	Avena+Raigrás Temp	Avena+Raigrás Temp	Avena+Raigrás Temp	Moha	Moha	Lotus Puro	Lotus Puro
536	TR+TB+Raigrás	TR+TB+Raigrás	TR+TB+Raigrás	TR+TB+Raigrás	TR+TB+Raigrás	TR+TB+Raigrás	TR+TB+Raigrás	TR+TB+Raigrás	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L
537	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado
538	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	Sorgo Forrajero	Sorgo Forrajero	Sorgo Forrajero	Alfalfa	Alfalfa	Alfalfa	Alfalfa	Alfalfa	Alfalfa	Alfalfa	Alfalfa	Alfalfa
539	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado
540	Sorgo Forrajero	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L
541	Sorgo Forrajero	Achicoria	Achicoria	Achicoria	Achicoria	Achicoria	Achicoria	Achicoria	Raigrás+TB+L	Raigrás+TB+L	Raigrás+TB+L	Raigrás+TB+L	Raigrás+TB+L	Raigrás+TB+L	Raigrás+TB+L	Raigrás+TB+L
542	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	Avena+Raigrás Temp	Avena+Raigrás Temp	Avena+Raigrás Temp	Moha	Moha	Avena+Raigrás Temp	Avena+Raigrás Temp	Avena+Raigrás Temp	Sorgo Forrajero	Sorgo Forrajero	Sorgo Forrajero	Moha
543	Maiz	Maiz	TR+Cebadilla	TR+Cebadilla	TR+Cebadilla	TR+Cebadilla	TR+Cebadilla	TR+Cebadilla	TR+Cebadilla	TR+Cebadilla	Alfalfa	Alfalfa	Alfalfa	Alfalfa	Alfalfa	Alfalfa
544	Achicoria	Achicoria	Achicoria	Achicoria	Achicoria	Achicoria	Achicoria	Lotus Puro	Lotus Puro	Lotus Puro	Lotus Puro	Lotus Puro	Lotus Puro	Lotus Puro	Lotus Puro	Lotus Puro
545	Alfalfa	Alfalfa	Alfalfa	Alfalfa	Alfalfa	Alfalfa	Alfalfa	Alfalfa	Alfalfa	Alfalfa	Alfalfa	Alfalfa	Alfalfa	Alfalfa	Alfalfa	Alfalfa
546	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado
547	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado
548	Sorgo Forrajero	Achicoria	Achicoria	Achicoria	Achicoria	Achicoria	Achicoria	Achicoria	Avena Pastoreo	Avena Pastoreo	Avena Pastoreo	Lotus Puro	Lotus Puro	Lotus Puro	Lotus Puro	Lotus Puro
549	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado
550	Avena+Raigrás Temp	Avena+Raigrás Temp	Avena+Raigrás Temp	Moha	Moha	Achicoria	Achicoria	Achicoria	Achicoria	Achicoria	Achicoria	Achicoria	Sorgo Forrajero	Sorgo Forrajero	Sorgo Forrajero	Alfalfa
551	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado
552	Raigrás+TB+L	Raigrás+TB+L	Raigrás+TB+L	Raigrás+TB+L	Sorgo Forrajero	Sorgo Forrajero	Sorgo Forrajero	Sorgo Forrajero	Sorgo Forrajero	Sorgo Forrajero	Maiz	Maiz	Achicoria	Achicoria	Achicoria	Achicoria
553	Raigrás+TB+L	Raigrás+TB+L	Raigrás+TB+L	Raigrás+TB+L	Achicoria	Achicoria	Achicoria	Achicoria	Achicoria	Achicoria	Achicoria	Alfalfa	Alfalfa	Alfalfa	Alfalfa	Alfalfa
554	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado
555	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado
556	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	Achicoria	Achicoria	Achicoria	Achicoria	Achicoria	Achicoria	Achicoria	Avena Pastoreo	Avena Pastoreo	Avena Pastoreo	Sorgo Forrajero	Sorgo Forrajero
557	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado
558	Lotus Puro	Lotus Puro	Lotus Puro	Lotus Puro	Lotus Puro	Lotus Puro	Lotus Puro	Lotus Puro	Lotus Puro	Lotus Puro	Lotus Puro	Lotus Puro	Avena Pastoreo	Avena Pastoreo	Avena Pastoreo	Sorgo Forrajero
559	Achicoria	Achicoria	Achicoria	Achicoria	Achicoria	Achicoria	Achicoria	TR+Cebadilla	TR+Cebadilla	TR+Cebadilla	TR+Cebadilla	TR+Cebadilla	TR+Cebadilla	TR+Cebadilla	TR+Cebadilla	Avena+Raigrás Temp
560	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado
561	Achicoria	Achicoria	Achicoria	Achicoria	Achicoria	Achicoria	Achicoria	TR+Cebadilla	TR+Cebadilla	TR+Cebadilla	TR+Cebadilla	TR+Cebadilla	TR+Cebadilla	TR+Cebadilla	TR+Cebadilla	Avena Pastoreo
562	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado
563	Raigrás+TB+L	Raigrás+TB+L	Raigrás+TB+L	Raigrás+TB+L	Raigrás+TB+L	Raigrás+TB+L	Raigrás+TB+L	Raigrás+TB+L	Avena Pastoreo	Avena Pastoreo	Avena Pastoreo	Achicoria	Achicoria	Achicoria	Achicoria	Achicoria
564	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado
565	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	TR+Cebadilla	TR+Cebadilla	TR+Cebadilla	TR+Cebadilla	TR+Cebadilla	TR+Cebadilla	TR+Cebadilla	TR+Cebadilla
566	Sorgo Forrajero	Maiz	Maiz	Lotus Puro	Lotus Puro	Lotus Puro	Lotus Puro	Lotus Puro	Lotus Puro	Lotus Puro	Lotus Puro	Lotus Puro	Lotus Puro	Lotus Puro	Lotus Puro	TR+Cebadilla
567	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado
568	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	Avena Pastoreo	Avena Pastoreo	Avena Pastoreo	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L
569	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado
570	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado
571	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado
572	Lotus Puro	Lotus Puro	Lotus Puro	Lotus Puro	Lotus Puro	Lotus Puro	Lotus Puro	Lotus Puro	Lotus Puro	Lotus Puro	Lotus Puro	Lotus Puro	Raigrás+TB+L	Raigrás+TB+L	Raigrás+TB+L	Raigrás+TB+L
573	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	Achicoria	Achicoria	Achicoria	Achicoria
574	Sorgo Forrajero	Maiz	Maiz	Avena+Raigrás Temp	Avena+Raigrás Temp	Avena+Raigrás Temp	Sorgo Forrajero	Sorgo Forrajero	Sorgo Forrajero	Alfalfa	Alfalfa	Alfalfa	Alfalfa	Alfalfa	Alfalfa	Alfalfa
575	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado
576	Sorgo Forrajero	Sorgo Forrajero	Sorgo Forrajero	Maiz	Maiz	Avena Pastoreo	Avena Pastoreo	Avena Pastoreo	Maiz	Maiz	TR+TB+Raigrás	TR+TB+Raigrás	TR+TB+Raigrás	TR+TB+Raigrás	TR+TB+Raigrás	TR+TB+Raigrás
577	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado
578	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado
579	Sorgo Forrajero	Moha	Moha	Raigrás+TB+L	Raigrás+TB+L	Raigrás+TB+L	Raigrás+TB+L	Raigrás+TB+L	Raigrás+TB+L	Raigrás+TB+L	Raigrás+TB+L	Raigrás+TB+L	Raigrás+TB+L	Raigrás+TB+L	Raigrás+TB+L	TR+Cebadilla
580	Raigrás+TB+L	Raigrás+TB+L	Raigrás+TB+L	Raigrás+TB+L	Raigrás+TB+L	Raigrás+TB+L	Raigrás+TB+L	Raigrás+TB+L	Raigrás+TB+L	Raigrás+TB+L	Raigrás+TB+L	Raigrás+TB+L	Sorgo Forrajero	Sorgo Forrajero	Sorgo Forrajero	Alfalfa
581	Raigrás+TB+L	Raigrás+TB+L	Raigrás+TB+L	Raigrás+TB+L	Raigrás+TB+L	Raigrás+TB+L	Raigrás+TB+L	Raigrás+TB+L	Raigrás+TB+L	Raigrás+TB+L	Raigrás+TB+L	Raigrás+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L
582	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado
583	Moha	Moha	Avena Pastoreo	Avena Pastoreo	Avena Pastoreo	Achicoria	Achicoria	Achicoria	Achicoria	Achicoria	Achicoria	Achicoria	TR+Cebadilla	TR+Cebadilla	TR+Cebadilla	TR+Cebadilla
584	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L
585	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	Raigrás+TB+L	Raigrás+TB+L	Raigrás+TB+L	Raigrás+TB+L
586	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado
587	Sorgo Forrajero	Sorgo Forrajero	Sorgo Forrajero	Sorgo Forrajero	Moha	Moha	Achicoria	Achicoria	Achicoria	Achicoria	Achicoria	Achicoria	Achicoria	FE+TB+L	FE+TB+L	FE+TB+L
588	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	Sorgo Forrajero	Sorgo Forrajero	Sorgo Forrajero	FE+TB+L
589	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado
590	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado
591	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado
592	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado
593	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado
594	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado
595	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado
596	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado
597	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado
598	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado
599	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado
600	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	Alfalfa	Alfalfa	Alfalfa	Alfalfa
601	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado
602	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado
603	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado
604	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado
605	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado
606	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado
607	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado
608	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	Raigrás+TB+L	Raigrás+TB+L	Raigrás+TB+L	Raigrás+TB+L	Raigrás+TB+L	Raigrás+TB+L	Raigrás+TB+L	Raigrás+TB+L	Raigrás+TB+L	Raigrás+TB+L	Raigrás+TB+L	Raigrás+TB+L
609	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado
610	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado
611	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado
612	Lotus Puro	Lotus Puro	Lotus Puro	Lotus Puro	Lotus Puro	Lotus Puro	Lotus Puro	Lotus Puro	Lotus Puro	Lotus Puro	Lotus Puro	Lotus Puro	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L
613	TR+TB+Raigrás	TR+TB+Raigrás	TR+TB+Raigrás	TR+TB+Raigrás	TR+TB+Raigrás	TR+TB+Raigrás	TR+TB+Raigrás	TR+TB+Raigrás	Sorgo Forrajero	Sorgo Forrajero	Sorgo Forrajero	Achicoria	Achicoria	Achicoria	Achicoria	Achicoria
614	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado
615	Alfalfa	Alfalfa	Alfalfa	Alfalfa	Alfalfa	Alfalfa	Alfalfa	Alfalfa	Alfalfa	Alfalfa	Alfalfa	Alfalfa	Alfalfa	Alfalfa	Alfalfa	Alfalfa
616	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado
617	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	Lotus Puro	Lotus Puro	Lotus Puro	Lotus Puro
618	Sorgo Forrajero	Maiz	Maiz	Raigrás+TB+L	Raigrás+TB+L	Raigrás+TB+L	Raigrás+TB+L	Raigrás+TB+L	Raigrás+TB+L	Raigrás+TB+L	Raigrás+TB+L	Raigrás+TB+L	Raigrás+TB+L	Raigrás+TB+L	Raigrás+TB+L	Avena+Raigrás Temp
619	Alfalfa	Alfalfa	Alfalfa	Alfalfa	Alfalfa	Alfalfa	Alfalfa	Alfalfa	TR+Cebadilla	TR+Cebadilla	TR+Cebadilla	TR+Cebadilla	TR+Cebadilla	TR+Cebadilla	TR+Cebadilla	TR+Cebadilla
620	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado
621	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	Alfalfa	Alfalfa	Alfalfa	Alfalfa	Alfalfa	Alfalfa	Alfalfa	Alfalfa
622	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado
623	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	Moha	Moha	TR+TB+Raigrás	TR+TB+Raigrás	TR+TB+Raigrás	TR+TB+Raigrás	TR+TB+Raigrás	TR+TB+Raigrás
624	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado
625	Achicoria	Achicoria	Achicoria	Achicoria	Achicoria	Achicoria	Achicoria	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L
626	Sorgo Forrajero	Alfalfa	Alfalfa	Alfalfa	Alfalfa	Alfalfa	Alfalfa	Alfalfa	Alfalfa	Alfalfa	Alfalfa	Alfalfa	Alfalfa	Alfalfa	Alfalfa	Alfalfa
627	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado
